Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      974     0.00     0.00  olib::openpluginlib::property_typename::property_typename(wchar_t const*)
  0.00      0.00     0.00       36     0.00     0.00  Jahshaka::staticMetaObject()
  0.00      0.00     0.00       27     0.00     0.00  JahControl::staticMetaObject()
  0.00      0.00     0.00       20     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      0.00     0.00       19     0.00     0.00  Jahshaka::JahsetProgressValue()
  0.00      0.00     0.00       13     0.00     0.00  JahControl::creatingModule(QString const&)
  0.00      0.00     0.00       13     0.00     0.00  JahControl::updateProgress()
  0.00      0.00     0.00       13     0.00     0.00  Jahshaka::JahchangeModeText(QString const&)
  0.00      0.00     0.00       12     0.00     0.00  JahControl::CreateModule(bool)
  0.00      0.00     0.00        9     0.00     0.00  QValueListPrivate<int>::insert(QValueListIterator<int>, int const&)
  0.00      0.00     0.00        4     0.00     0.00  JahControl::tr(char const*, char const*)
  0.00      0.00     0.00        4     0.00     0.00  QValueListPrivate<int>::~QValueListPrivate()
  0.00      0.00     0.00        2     0.00     0.00  JahControl::raiseMenu(Module)
  0.00      0.00     0.00        2     0.00     0.00  QValueListPrivate<int>::QValueListPrivate()
  0.00      0.00     0.00        2     0.00     0.00  Jahshaka::JahaddProgressSteps(int)
  0.00      0.00     0.00        2     0.00     0.00  Jahshaka::tr(char const*, char const*)
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _Z4todov
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN10JahControl24CreateDesktopFeedbackBoxEP7QWidget
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN10JahControlC2EP9QGLWidgetP7QWidgetP9JahHeaderP6QFrameS7_S7_S7_S7_S7_S7_S3_S7_S7_S7_S7_S7_S7_S7_
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN10MainPlayerC2EPK9QGLWidgetP7QWidgetPKcP5QHBoxS8_S8_S8_S8_
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN11MainEncoder6fpsValE
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN4olib12openassetlib25SET_XML_ROOT_ELEMENT_NAMEE
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN4olib12openassetlib2al13asset_factory9instance_E
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN4olib12openmedialib2ml14template_inputC2Ev
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN4olib12openmedialib2ml19openmedialib_pluginC2Ev
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to _ZN4olib12openmedialib2ml1yE
